time,wx (rad/s),wy (rad/s),wz (rad/s)
2.922,-0.09,0.04,0.05
2.924,-0.08,0.04,0.05
2.926,-0.08,0.05,0.04
2.929,-0.07,0.05,0.04
2.932,-0.06,0.05,0.04
2.935,-0.05,0.05,0.04
2.936,-0.04,0.05,0.04
2.939,-0.03,0.05,0.03
2.942,-0.02,0.05,0.03
2.943,-0.00,0.05,0.03
2.946,0.01,0.05,0.03
2.955,0.02,0.04,0.03
2.956,0.03,0.04,0.02
2.956,0.04,0.03,0.02
2.957,0.04,0.03,0.02
2.959,0.05,0.03,0.01
2.962,0.06,0.03,0.01
2.963,0.06,0.03,0.00
2.967,0.07,0.04,-0.00
2.969,0.07,0.04,-0.01
2.972,0.07,0.04,-0.01
2.974,0.06,0.04,-0.01
2.976,0.06,0.04,-0.02
2.978,0.06,0.04,-0.02
2.981,0.05,0.04,-0.02
2.984,0.04,0.03,-0.02
2.986,0.04,0.03,-0.02
2.988,0.03,0.02,-0.02
2.990,0.02,0.02,-0.02
2.993,0.02,0.01,-0.02
2.995,0.01,0.01,-0.02
2.999,0.01,0.01,-0.02
3.002,0.00,0.01,-0.02
3.003,0.00,0.00,-0.01
3.005,-0.00,0.00,-0.01
3.008,-0.00,0.01,-0.01
3.010,0.00,0.01,-0.02
3.013,0.00,0.01,-0.02
3.016,0.01,0.01,-0.02
3.018,0.01,0.01,-0.02
3.021,0.01,0.01,-0.02
3.023,0.02,0.02,-0.02
3.025,0.02,0.02,-0.02
3.029,0.03,0.03,-0.02
3.030,0.03,0.03,-0.02
3.035,0.03,0.04,-0.02
3.036,0.03,0.04,-0.02
3.039,0.03,0.04,-0.02
3.042,0.03,0.04,-0.02
3.043,0.03,0.04,-0.02
3.045,0.03,0.04,-0.02
3.047,0.03,0.03,-0.02
3.051,0.02,0.03,-0.02
3.054,0.02,0.02,-0.02
3.055,0.01,0.01,-0.02
3.057,0.01,0.01,-0.02
3.060,0.00,0.00,-0.02
3.062,-0.00,-0.01,-0.02
3.067,-0.01,-0.01,-0.02
3.075,-0.01,-0.02,-0.03
3.075,-0.01,-0.02,-0.03
3.075,-0.01,-0.02,-0.03
3.076,-0.01,-0.02,-0.04
3.078,-0.01,-0.02,-0.04
3.080,-0.01,-0.02,-0.04
3.086,-0.00,-0.01,-0.04
3.086,0.00,-0.01,-0.04
3.088,0.01,-0.00,-0.05
3.090,0.02,0.01,-0.05
3.092,0.03,0.01,-0.05
3.094,0.03,0.02,-0.05
3.097,0.03,0.02,-0.04
3.100,0.04,0.03,-0.04
3.103,0.04,0.03,-0.04
3.104,0.05,0.03,-0.04
3.107,0.05,0.03,-0.04
3.109,0.05,0.04,-0.04
3.112,0.05,0.03,-0.04
3.117,0.05,0.03,-0.04
3.118,0.04,0.03,-0.04
3.119,0.04,0.03,-0.04
3.122,0.04,0.03,-0.04
3.124,0.03,0.03,-0.04
3.127,0.03,0.03,-0.04
3.129,0.02,0.03,-0.04
3.134,0.02,0.02,-0.04
3.135,0.01,0.02,-0.04
3.136,0.01,0.02,-0.04
3.139,0.00,0.01,-0.04
3.142,-0.00,0.01,-0.04
3.144,-0.00,0.00,-0.04
3.146,-0.01,0.00,-0.04
3.149,-0.01,-0.01,-0.04
3.152,-0.01,-0.01,-0.05
3.154,-0.01,-0.01,-0.05
3.156,-0.00,-0.01,-0.05
3.159,0.00,-0.02,-0.05
3.161,0.01,-0.02,-0.06
3.163,0.01,-0.02,-0.06
3.167,0.02,-0.02,-0.06
3.175,0.03,-0.02,-0.07
3.175,0.03,-0.02,-0.07
3.175,0.04,-0.02,-0.07
3.176,0.05,-0.02,-0.07
3.179,0.05,-0.02,-0.07
3.182,0.06,-0.02,-0.07
3.196,0.07,-0.02,-0.07
3.198,0.07,-0.02,-0.07
3.198,0.08,-0.03,-0.07
3.198,0.08,-0.03,-0.07
3.199,0.09,-0.03,-0.06
3.199,0.09,-0.02,-0.06
3.209,0.09,-0.02,-0.07
3.210,0.10,-0.02,-0.06
3.210,0.10,-0.02,-0.06
3.210,0.10,-0.01,-0.06
3.211,0.10,-0.01,-0.06
3.211,0.10,-0.01,-0.06
3.213,0.10,-0.01,-0.06
3.216,0.10,-0.01,-0.06
3.218,0.10,-0.01,-0.06
3.220,0.10,-0.01,-0.06
3.223,0.10,-0.01,-0.06
3.227,0.09,-0.01,-0.07
3.228,0.09,-0.01,-0.07
3.230,0.09,-0.01,-0.07
3.233,0.09,-0.01,-0.08
3.236,0.08,-0.01,-0.08
3.238,0.08,-0.00,-0.08
3.240,0.08,0.00,-0.09
3.243,0.08,0.00,-0.09
3.245,0.07,0.01,-0.09
3.248,0.07,0.01,-0.09
3.250,0.07,0.01,-0.09
3.254,0.07,0.01,-0.09
3.255,0.06,0.01,-0.09
3.258,0.06,0.01,-0.09
3.260,0.06,0.01,-0.09
3.262,0.06,0.00,-0.09
3.270,0.06,0.00,-0.08
3.271,0.06,0.00,-0.08
3.271,0.06,0.00,-0.08
3.272,0.06,0.00,-0.08
3.275,0.06,0.01,-0.08
3.278,0.06,0.00,-0.08
3.280,0.06,0.00,-0.09
3.286,0.06,0.00,-0.09
3.286,0.06,0.00,-0.09
3.287,0.06,-0.00,-0.09
3.290,0.07,-0.00,-0.10
3.292,0.07,-0.01,-0.10
3.294,0.07,-0.01,-0.10
3.298,0.07,-0.02,-0.10
3.301,0.08,-0.02,-0.11
3.302,0.08,-0.02,-0.11
3.305,0.09,-0.02,-0.12
3.307,0.09,-0.02,-0.12
3.309,0.09,-0.02,-0.13
3.312,0.10,-0.02,-0.13
3.315,0.11,-0.02,-0.13
3.318,0.11,-0.01,-0.13
3.319,0.12,-0.00,-0.13
3.322,0.13,0.01,-0.13
3.324,0.13,0.02,-0.13
3.327,0.14,0.03,-0.13
3.329,0.14,0.04,-0.13
3.332,0.15,0.05,-0.13
3.339,0.15,0.07,-0.13
3.340,0.16,0.08,-0.13
3.340,0.16,0.10,-0.13
3.342,0.17,0.11,-0.13
3.344,0.18,0.13,-0.14
3.346,0.19,0.15,-0.14
3.349,0.20,0.16,-0.14
3.352,0.21,0.17,-0.14
3.354,0.21,0.18,-0.14
3.356,0.22,0.19,-0.14
3.359,0.22,0.19,-0.14
3.361,0.22,0.19,-0.14
3.363,0.23,0.19,-0.14
3.368,0.23,0.19,-0.14
3.375,0.23,0.20,-0.14
3.376,0.22,0.19,-0.14
3.376,0.22,0.19,-0.14
3.380,0.22,0.19,-0.14
3.380,0.21,0.19,-0.14
3.381,0.21,0.18,-0.14
3.386,0.20,0.18,-0.14
3.386,0.20,0.18,-0.14
3.388,0.19,0.18,-0.14
3.392,0.19,0.18,-0.14
3.393,0.18,0.18,-0.14
3.396,0.18,0.18,-0.14
3.401,0.18,0.18,-0.15
3.401,0.18,0.19,-0.15
3.404,0.18,0.19,-0.15
3.406,0.18,0.19,-0.16
3.408,0.18,0.20,-0.16
3.410,0.19,0.20,-0.16
3.413,0.19,0.21,-0.17
3.418,0.19,0.22,-0.17
3.426,0.20,0.22,-0.17
3.433,0.20,0.22,-0.18
3.433,0.21,0.23,-0.18
3.434,0.21,0.23,-0.19
3.434,0.22,0.23,-0.19
3.434,0.22,0.23,-0.19
3.439,0.22,0.23,-0.19
3.440,0.23,0.23,-0.19
3.440,0.23,0.22,-0.19
3.440,0.23,0.22,-0.19
3.447,0.23,0.21,-0.19
3.448,0.23,0.20,-0.19
3.455,0.23,0.20,-0.19
3.456,0.23,0.20,-0.18
3.457,0.23,0.19,-0.18
3.457,0.23,0.18,-0.17
3.458,0.22,0.18,-0.17
3.460,0.22,0.18,-0.17
3.462,0.21,0.17,-0.16
3.465,0.20,0.17,-0.16
3.471,0.19,0.17,-0.16
3.472,0.19,0.16,-0.16
3.473,0.18,0.15,-0.15
3.475,0.17,0.15,-0.15
3.477,0.16,0.14,-0.15
3.480,0.15,0.13,-0.14
3.484,0.13,0.12,-0.14
3.485,0.12,0.11,-0.14
3.489,0.11,0.10,-0.13
3.490,0.10,0.09,-0.13
3.493,0.08,0.08,-0.13
3.496,0.07,0.06,-0.13
3.498,0.05,0.05,-0.12
3.502,0.03,0.03,-0.12
3.503,0.01,0.02,-0.12
3.506,-0.01,0.01,-0.12
3.509,-0.03,-0.01,-0.11
3.509,-0.04,-0.02,-0.11
3.512,-0.06,-0.02,-0.11
3.517,-0.08,-0.03,-0.10
3.518,-0.09,-0.04,-0.10
3.520,-0.11,-0.04,-0.10
3.522,-0.11,-0.04,-0.10
3.524,-0.12,-0.04,-0.10
3.527,-0.12,-0.05,-0.09
3.529,-0.12,-0.04,-0.09
3.532,-0.11,-0.04,-0.09
3.535,-0.11,-0.04,-0.09
3.537,-0.10,-0.03,-0.09
3.539,-0.08,-0.03,-0.09
3.542,-0.07,-0.02,-0.09
3.544,-0.06,-0.02,-0.09
3.547,-0.04,-0.02,-0.09
3.550,-0.03,-0.01,-0.09
3.554,-0.01,-0.01,-0.09
3.554,0.00,-0.01,-0.09
3.556,0.01,-0.01,-0.09
3.559,0.03,-0.01,-0.09
3.561,0.03,-0.00,-0.09
3.563,0.04,-0.00,-0.08
3.567,0.05,-0.00,-0.08
3.569,0.05,-0.00,-0.08
3.571,0.05,-0.00,-0.08
3.574,0.05,-0.01,-0.07
3.576,0.05,-0.01,-0.07
3.579,0.05,-0.01,-0.06
3.581,0.04,-0.02,-0.05
3.587,0.04,-0.02,-0.05
3.588,0.03,-0.03,-0.04
3.594,0.02,-0.03,-0.03
3.594,0.01,-0.04,-0.02
3.594,0.00,-0.04,-0.02
3.605,-0.01,-0.04,-0.01
3.605,-0.02,-0.05,-0.00
3.605,-0.03,-0.05,0.01
3.606,-0.04,-0.05,0.01
3.606,-0.05,-0.05,0.02
3.608,-0.06,-0.05,0.02
3.612,-0.06,-0.05,0.02
3.613,-0.07,-0.06,0.02
3.616,-0.07,-0.06,0.02
3.621,-0.07,-0.06,0.02
3.622,-0.07,-0.05,0.02
3.623,-0.06,-0.05,0.01
3.625,-0.06,-0.05,0.01
3.628,-0.05,-0.04,0.01
3.630,-0.04,-0.04,-0.00
3.635,-0.04,-0.03,-0.01
3.637,-0.03,-0.03,-0.01
3.638,-0.01,-0.02,-0.02
3.640,-0.00,-0.02,-0.02
3.643,0.01,-0.01,-0.03
3.645,0.02,-0.00,-0.04
3.648,0.03,0.00,-0.04
3.654,0.04,0.01,-0.04
3.655,0.05,0.01,-0.05
3.656,0.05,0.01,-0.05
3.658,0.06,0.01,-0.05
3.660,0.06,0.01,-0.05
3.662,0.06,0.01,-0.04
3.665,0.06,0.01,-0.04
3.669,0.06,0.01,-0.04
3.671,0.05,0.01,-0.04
3.673,0.05,0.01,-0.03
3.677,0.04,0.01,-0.03
3.678,0.04,0.01,-0.03
3.682,0.03,0.01,-0.02
3.682,0.03,0.01,-0.02
3.685,0.02,0.01,-0.02
3.688,0.01,0.01,-0.02
3.690,0.01,0.01,-0.02
3.692,-0.00,0.01,-0.02
3.695,-0.01,0.00,-0.02
3.697,-0.01,0.00,-0.02
3.702,-0.01,0.00,-0.01
3.703,-0.02,0.00,-0.02
3.704,-0.02,0.00,-0.02
3.707,-0.02,0.00,-0.01
3.710,-0.02,0.01,-0.02
3.712,-0.01,0.01,-0.01
3.714,-0.01,0.02,-0.02
3.718,-0.01,0.02,-0.02
3.720,-0.01,0.03,-0.02
3.726,0.00,0.03,-0.02
3.726,0.00,0.03,-0.02
3.727,0.01,0.04,-0.02
3.729,0.01,0.04,-0.02
3.732,0.01,0.04,-0.01
3.735,0.01,0.04,-0.01
3.737,0.01,0.04,-0.02
3.739,0.01,0.04,-0.02
3.742,0.01,0.04,-0.02
3.745,0.01,0.04,-0.02
3.747,0.01,0.04,-0.02
3.749,0.01,0.04,-0.02
3.754,0.01,0.03,-0.02
3.755,0.01,0.03,-0.02
3.756,0.01,0.02,-0.03
3.759,0.00,0.02,-0.03
3.763,0.00,0.01,-0.03
3.764,-0.00,0.01,-0.03
3.768,-0.00,0.01,-0.03
3.776,-0.00,0.00,-0.03
3.776,-0.00,0.00,-0.03
3.777,-0.00,0.00,-0.02
3.777,-0.00,0.00,-0.02
3.779,0.00,0.00,-0.02
3.781,0.00,0.01,-0.02
3.796,0.01,0.01,-0.01
3.796,0.01,0.01,-0.01
3.797,0.02,0.02,-0.01
3.797,0.02,0.02,-0.01
3.797,0.02,0.02,-0.00
3.797,0.03,0.02,0.00
3.798,0.03,0.03,0.00
3.803,0.03,0.03,0.00
3.804,0.04,0.03,0.01
3.806,0.04,0.03,0.01
3.808,0.04,0.03,0.01
3.812,0.04,0.02,0.01
3.814,0.04,0.02,0.01
3.819,0.03,0.02,0.01
3.819,0.03,0.02,0.00
3.821,0.02,0.01,0.00
3.824,0.01,0.01,0.00
3.826,0.00,0.01,0.00
3.829,-0.01,0.01,0.00
3.831,-0.02,0.00,0.00
3.833,-0.03,0.00,0.00
3.836,-0.04,0.00,0.00
3.838,-0.04,-0.00,0.00
3.841,-0.05,0.00,0.00
3.843,-0.06,-0.00,0.00
3.845,-0.06,0.00,0.00
3.848,-0.06,-0.00,0.00
3.852,-0.06,0.00,0.00
3.853,-0.06,0.00,0.00
3.856,-0.06,0.01,0.00
3.858,-0.05,0.01,0.00
3.861,-0.05,0.01,0.00
3.862,-0.04,0.02,0.00
3.865,-0.03,0.02,0.01
3.881,-0.02,0.03,0.01
3.883,-0.01,0.04,0.01
3.884,-0.00,0.05,0.01
3.885,0.01,0.05,0.00
3.887,0.02,0.06,0.00
3.888,0.02,0.06,0.00
3.888,0.03,0.07,-0.00
3.888,0.04,0.07,-0.01
3.889,0.05,0.06,-0.01
3.891,0.05,0.06,-0.01
3.893,0.06,0.06,-0.02
3.895,0.06,0.06,-0.02
3.897,0.06,0.06,-0.02
3.901,0.05,0.06,-0.02
3.905,0.05,0.05,-0.02
3.905,0.05,0.05,-0.03
3.914,0.04,0.04,-0.03
3.914,0.04,0.04,-0.03
3.914,0.03,0.04,-0.03
3.916,0.03,0.04,-0.03
3.922,0.02,0.03,-0.04
3.922,0.01,0.03,-0.04
3.925,0.01,0.03,-0.04
3.926,0.00,0.02,-0.04
3.928,0.00,0.02,-0.04
3.930,-0.00,0.02,-0.04
3.932,-0.01,0.02,-0.05
3.935,-0.01,0.02,-0.05
3.939,-0.01,0.02,-0.05
3.939,-0.00,0.02,-0.05
3.944,-0.00,0.02,-0.05
3.945,0.00,0.03,-0.06
3.947,0.00,0.03,-0.06
3.950,0.01,0.03,-0.06
3.952,0.01,0.04,-0.06
3.954,0.02,0.04,-0.06
3.958,0.03,0.04,-0.06
3.962,0.03,0.04,-0.06
3.962,0.04,0.04,-0.06
3.964,0.05,0.04,-0.06
3.966,0.05,0.03,-0.06
3.971,0.06,0.03,-0.06
3.971,0.06,0.03,-0.06
3.974,0.07,0.03,-0.06
3.976,0.07,0.02,-0.07
3.979,0.08,0.02,-0.07
3.981,0.08,0.02,-0.07
3.991,0.08,0.02,-0.07
3.992,0.08,0.02,-0.08
3.992,0.08,0.02,-0.08
3.992,0.08,0.03,-0.08
3.993,0.08,0.04,-0.08
3.996,0.08,0.06,-0.08
4.001,0.08,0.10,-0.08
4.001,0.09,0.13,-0.08
4.004,0.10,0.16,-0.08
4.006,0.10,0.18,-0.08
4.009,0.11,0.19,-0.07
4.011,0.10,0.18,-0.07
4.013,0.10,0.17,-0.07
4.016,0.10,0.16,-0.06
4.021,0.09,0.14,-0.06
4.021,0.08,0.11,-0.06
4.023,0.07,0.09,-0.05
4.026,0.05,0.07,-0.05
4.028,0.04,0.06,-0.05
4.031,0.03,0.04,-0.05
4.038,0.01,0.03,-0.05
4.038,-0.00,0.02,-0.05
4.048,-0.01,0.00,-0.05
4.052,-0.03,-0.01,-0.06
4.054,-0.04,-0.03,-0.06
4.054,-0.05,-0.04,-0.06
4.054,-0.05,-0.05,-0.06
4.055,-0.05,-0.06,-0.07
4.055,-0.06,-0.07,-0.07
4.066,-0.05,-0.07,-0.07
4.066,-0.05,-0.07,-0.07
4.066,-0.04,-0.06,-0.08
4.066,-0.03,-0.06,-0.08
4.068,-0.02,-0.05,-0.08
4.069,-0.01,-0.04,-0.08
4.072,0.01,-0.03,-0.08
4.073,0.02,-0.02,-0.08
4.075,0.04,-0.00,-0.08
4.078,0.05,0.01,-0.08
4.080,0.06,0.02,-0.08
4.083,0.08,0.03,-0.08
4.086,0.08,0.04,-0.08
4.091,0.09,0.04,-0.07
4.092,0.10,0.05,-0.07
4.092,0.10,0.06,-0.07
4.095,0.09,0.06,-0.07
4.097,0.09,0.06,-0.06
4.100,0.08,0.06,-0.06
4.108,0.07,0.06,-0.06
4.109,0.07,0.05,-0.05
4.109,0.05,0.05,-0.05
4.110,0.03,0.05,-0.04
4.112,0.02,0.04,-0.04
4.115,0.00,0.04,-0.04
4.119,-0.01,0.03,-0.04
4.121,-0.02,0.03,-0.03
4.122,-0.03,0.03,-0.03
4.124,-0.04,0.03,-0.03
4.128,-0.05,0.02,-0.03
4.129,-0.05,0.02,-0.03
4.132,-0.05,0.01,-0.03
4.134,-0.05,0.00,-0.03
4.138,-0.05,-0.00,-0.03
4.139,-0.05,-0.01,-0.03
4.142,-0.04,-0.01,-0.03
4.144,-0.04,-0.01,-0.03
4.147,-0.03,-0.02,-0.03
4.149,-0.03,-0.01,-0.03
4.153,-0.02,-0.01,-0.03
4.154,-0.01,-0.01,-0.03
4.157,-0.01,-0.01,-0.03
4.159,-0.00,-0.01,-0.03
4.161,0.01,-0.01,-0.02
4.164,0.01,-0.01,-0.02
4.166,0.02,-0.00,-0.02
4.169,0.03,0.00,-0.02
4.174,0.03,0.01,-0.02
4.174,0.04,0.01,-0.02
4.177,0.04,0.02,-0.02
4.179,0.05,0.02,-0.02
4.181,0.05,0.03,-0.02
4.195,0.06,0.03,-0.02
4.195,0.06,0.04,-0.02
4.195,0.06,0.04,-0.03
4.196,0.06,0.05,-0.02
4.196,0.06,0.06,-0.03
4.196,0.06,0.07,-0.03
4.199,0.06,0.09,-0.03
4.204,0.07,0.10,-0.04
4.206,0.08,0.12,-0.04
4.209,0.08,0.13,-0.05
4.213,0.09,0.14,-0.05
4.213,0.09,0.15,-0.05
4.213,0.09,0.16,-0.06
4.216,0.10,0.16,-0.06
4.222,0.10,0.16,-0.07
4.222,0.10,0.16,-0.07
4.224,0.09,0.17,-0.07
4.226,0.09,0.18,-0.07
4.228,0.09,0.20,-0.08
4.231,0.09,0.21,-0.08
4.234,0.09,0.21,-0.09
4.239,0.09,0.22,-0.09
4.239,0.09,0.21,-0.10
4.244,0.08,0.21,-0.10
4.245,0.08,0.20,-0.10
4.246,0.08,0.18,-0.10
4.248,0.07,0.17,-0.10
4.254,0.07,0.16,-0.10
4.256,0.07,0.15,-0.09
4.257,0.07,0.16,-0.10
4.260,0.08,0.17,-0.10
4.261,0.08,0.17,-0.10
4.264,0.09,0.17,-0.10
4.265,0.10,0.17,-0.10
4.271,0.11,0.17,-0.10
4.272,0.12,0.16,-0.10
4.276,0.13,0.16,-0.10
4.282,0.15,0.16,-0.11
4.283,0.16,0.16,-0.11
4.283,0.18,0.17,-0.11
4.285,0.19,0.17,-0.12
4.289,0.21,0.18,-0.12
4.289,0.22,0.18,-0.13
4.296,0.24,0.18,-0.13
4.297,0.25,0.19,-0.14
4.298,0.26,0.18,-0.14
4.298,0.27,0.19,-0.14
4.300,0.28,0.19,-0.15
4.302,0.24,0.26,-0.15
4.307,0.15,0.36,-0.14
4.308,0.03,0.44,-0.13
4.310,-0.10,0.44,-0.10
4.314,-0.22,0.37,-0.06
4.315,-0.30,0.30,-0.04
4.323,-0.37,0.25,-0.04
4.323,-0.42,0.21,-0.04
4.323,-0.45,0.19,-0.05
4.325,-0.45,0.18,-0.07
4.327,-0.42,0.16,-0.08
4.330,-0.36,0.13,-0.10
4.332,-0.29,0.10,-0.12
4.335,-0.20,0.07,-0.13
4.338,-0.12,0.03,-0.14
4.340,-0.03,0.01,-0.14
4.342,0.05,-0.01,-0.13
4.344,0.13,-0.02,-0.11
4.346,0.19,-0.03,-0.09
4.349,0.25,-0.05,-0.06
4.352,0.31,-0.06,-0.03
4.354,0.35,-0.07,0.01
4.357,0.38,-0.06,0.04
4.359,0.40,-0.05,0.07
4.361,0.40,-0.03,0.09
4.364,0.39,-0.01,0.09
4.366,0.37,0.01,0.10
4.369,0.34,0.03,0.10
4.372,0.30,0.04,0.09
4.374,0.25,0.05,0.08
4.376,0.21,0.06,0.07
4.379,0.15,0.06,0.06
4.382,0.10,0.06,0.05
4.384,0.05,0.04,0.04
